CheetahProteinDescription,HumanName
alpha-1B-glycoprotein isoform X1;alpha-1B-glycoprotein isoform X2,Alpha-1B-glycoprotein
alpha-2-macroglobulin,Alpha-2-macroglobulin
ATP-binding cassette sub-family F member 1 isoform X1,ATP-binding cassette sub-family F member 1
target of Nesh-SH3,Target of Nesh-SH3
Active breakpoint cluster region-related protein,Active breakpoint cluster region-related protein
ABRA C-terminal-like protein,Costars family protein ABRACL
"3-ketoacyl-CoA thiolase, peroxisomal","3-ketoacyl-CoA thiolase, peroxisomal"
"3-ketoacyl-CoA thiolase, mitochondrial isoform X1","3-ketoacyl-CoA thiolase, mitochondrial"
"very long-chain specific acyl-CoA dehydrogenase, mitochondrial","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"
"acetyl-CoA acetyltransferase, mitochondrial","Acetyl-CoA acetyltransferase, mitochondrial"
"acetyl-CoA acetyltransferase, cytosolic","Acetyl-CoA acetyltransferase, cytosolic"
Angiotensin-converting enzyme,Angiotensin-converting enzyme 
Carboxylic ester hydrolase,Acetylcholinesterase
ATP-citrate synthase,ATP-citrate synthase
"Aconitate hydratase, mitochondrial","Aconitate hydratase, mitochondrial"
acyl-coenzyme A thioesterase 13,"Acyl-coenzyme A thioesterase 13, N-terminally processed"
Acetyl-coenzyme A synthetase,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
Propionate--CoA ligase,"Acetyl-coenzyme A synthetase, cytoplasmic"
"actin, alpha skeletal muscle","Actin, alpha skeletal muscle"
"actin, cytoplasmic 1","Actin, cytoplasmic 1"
"actin, cytoplasmic 2","Actin, cytoplasmic 2"
alpha-actinin-1 isoform X3,Alpha-actinin-1
alpha-actinin-2 isoform X1,Alpha-actinin-2
alpha-actinin-3,Alpha-actinin-3
alpha-actinin-4 isoform X3,Alpha-actinin-4
actin-related protein 10 isoform X1;actin-related protein 10 isoform X2,Actin-related protein 10
alpha-centractin,Alpha-centractin
actin-related protein 2 isoform X2,Actin-related protein 2
Actin-like protein 3,Actin-related protein 3
